1.png, 1, 1, 48, 48, 0, 0, 0, 0
2.png, 1, 51, 48, 48, 0, 0, 0, 0
3.png, 1, 101, 48, 48, 0, 0, 0, 0
4.png, 1, 151, 48, 48, 0, 0, 0, 0
5.png, 1, 201, 48, 48, 0, 0, 0, 0
6.png, 1, 251, 48, 48, 0, 0, 0, 0
backbtn.png, 1, 301, 100, 91, 0, 0, 0, 0
homebtn.png, 51, 1, 150, 150, 0, 0, 0, 0
levelbg.png, 1, 394, 700, 1140, 0, 0, 0, 0
leveltitle.png, 51, 153, 244, 118, 0, 0, 0, 0
mainmenubg.png, 703, 1, 700, 1261, 0, 0, 0, 0
playbtn.png, 203, 1, 105, 150, 0, 0, 0, 0
settingbg.png, 1405, 1, 700, 1316, 0, 0, 0, 0
settingbtn.png, 297, 153, 150, 150, 0, 0, 0, 0
settingtitle.png, 103, 305, 315, 56, 0, 0, 0, 0
maintitle.png, 1, 1536, 352, 200, 0, 0, 0, 0
levelbtn.png, 310, 1, 150, 150, 0, 0, 0, 0
block.png, 420, 305, 50, 50, 0, 0, 0, 0
levelplay.png, 2107, 1, 700, 1118, 0, 0, 0, 0
creditbtn.png, 449, 153, 100, 100, 0, 0, 0, 0
creditbg.png, 2809, 1, 787, 1000, 0, 0, 0, 0
creditname.png, 1, 1738, 300, 290, 0, 0, 0, 0
